State,Caste,Religion,Groom_Age,Bride_Age,Groom_Education_Yrs,Bride_Education_Yrs,Groom_Income_Monthly,Bride_Income_Monthly,Occupation,Marriage_Type,Area,Family_Type,Dowry_Amount_INR
Punjab,OBC,Muslim,22,27,11,18,98276,18299,Business,Love,Urban,Joint,732050
Bihar,General,Muslim,21,27,15,16,138411,64172,Business,Love,Urban,Nuclear,950487
Karnataka,General,Hindu,25,21,19,9,43529,34776,Govt Job,Arranged,Rural,Nuclear,912198
Punjab,ST,Muslim,27,26,19,16,132212,70879,Farmer,Love,Rural,Nuclear,414245
Punjab,General,Christian,21,21,20,8,104470,11873,Farmer,Arranged,Urban,Nuclear,1408902
Gujarat,OBC,Hindu,22,28,17,20,15768,31310,Farmer,Arranged,Urban,Joint,89446
Maharashtra,General,Christian,30,24,14,10,131042,20737,Farmer,Arranged,Urban,Joint,1455615
Maharashtra,ST,Hindu,27,28,11,17,55662,62712,Business,Love,Rural,Joint,235712
Haryana,ST,Sikh,22,22,15,19,145495,62811,Govt Job,Arranged,Rural,Nuclear,1892666
Tamil Nadu,SC,Hindu,21,30,20,9,96183,16921,Farmer,Arranged,Rural,Nuclear,828268
Uttar Pradesh,ST,Christian,21,20,15,19,136224,74561,Business,Arranged,Rural,Joint,1281793
Kerala,General,Christian,30,25,15,12,94435,50539,Business,Love,Rural,Joint,824198
Gujarat,OBC,Muslim,25,20,19,9,109021,61542,Unemployed,Love,Rural,Joint,258814
Kerala,General,Muslim,30,28,15,17,130139,31840,Private Job,Love,Rural,Joint,754246
Gujarat,General,Christian,34,20,19,15,96038,24617,Govt Job,Arranged,Urban,Nuclear,1915244
Tamil Nadu,General,Muslim,23,29,16,16,97957,51767,Unemployed,Love,Urban,Nuclear,326509
Kerala,OBC,Muslim,24,19,13,10,99361,70766,Govt Job,Arranged,Urban,Nuclear,1972720
Karnataka,General,Sikh,32,18,16,18,122562,20029,Unemployed,Arranged,Urban,Nuclear,975352
Bihar,OBC,Sikh,25,24,19,9,49189,52488,Farmer,Love,Urban,Nuclear,210947
Haryana,ST,Hindu,35,24,12,14,27025,78859,Unemployed,Love,Rural,Joint,118673
Maharashtra,OBC,Sikh,28,21,11,16,141193,13225,Govt Job,Love,Urban,Joint,996623
Gujarat,General,Hindu,27,28,15,17,86087,32031,Unemployed,Love,Rural,Nuclear,295802
Gujarat,OBC,Muslim,26,18,13,9,34372,30325,Govt Job,Love,Urban,Joint,269145
Haryana,ST,Sikh,25,25,11,20,78288,20959,Private Job,Love,Rural,Joint,288750
Tamil Nadu,ST,Christian,22,29,17,14,103861,78979,Farmer,Arranged,Urban,Joint,631265
Punjab,ST,Muslim,24,18,17,13,10706,18829,Govt Job,Arranged,Urban,Nuclear,172723
Uttar Pradesh,OBC,Christian,31,29,14,13,50236,22476,Unemployed,Arranged,Rural,Nuclear,261832
Haryana,ST,Hindu,23,18,10,12,57168,34294,Farmer,Love,Urban,Joint,225570
Uttar Pradesh,General,Hindu,31,27,11,16,115752,57849,Business,Love,Rural,Joint,722757
Gujarat,General,Christian,32,25,19,13,133630,72368,Farmer,Arranged,Rural,Joint,1577761
Bihar,General,Sikh,32,26,20,10,125554,14537,Govt Job,Arranged,Urban,Joint,2406045
Kerala,SC,Sikh,25,27,17,17,137973,37970,Unemployed,Love,Rural,Joint,365427
Tamil Nadu,OBC,Hindu,32,28,20,17,53762,38497,Business,Love,Rural,Nuclear,305822
Haryana,General,Sikh,33,23,17,14,58923,64780,Farmer,Arranged,Rural,Joint,747541
Bihar,ST,Hindu,26,20,13,14,78138,65078,Private Job,Arranged,Urban,Joint,568000
Kerala,General,Christian,33,30,18,13,122961,15261,Farmer,Arranged,Rural,Joint,1697476
Rajasthan,ST,Sikh,28,20,17,10,56271,31591,Business,Arranged,Rural,Joint,556123
Maharashtra,OBC,Muslim,31,28,20,19,26688,21656,Business,Arranged,Urban,Joint,381704
Rajasthan,SC,Muslim,34,18,13,14,106106,16319,Farmer,Love,Rural,Nuclear,344455
Rajasthan,General,Muslim,25,19,19,16,91751,64179,Farmer,Arranged,Urban,Nuclear,1025608
Rajasthan,ST,Christian,34,30,16,13,92208,58844,Govt Job,Love,Urban,Joint,357806
Punjab,ST,Sikh,32,28,17,20,109628,19786,Business,Arranged,Urban,Joint,1174205
Karnataka,OBC,Christian,25,19,17,16,35293,45251,Private Job,Love,Rural,Nuclear,198124
Bihar,OBC,Hindu,29,30,17,8,119531,70581,Govt Job,Arranged,Urban,Nuclear,2056130
Tamil Nadu,OBC,Muslim,23,20,20,15,136784,26570,Farmer,Love,Rural,Joint,501406
Punjab,General,Christian,22,23,16,19,52286,22397,Govt Job,Love,Urban,Joint,543239
Gujarat,SC,Hindu,24,19,17,8,41915,71571,Private Job,Love,Rural,Nuclear,34027
Karnataka,OBC,Sikh,30,21,18,18,129183,68946,Farmer,Love,Rural,Joint,451855
Kerala,SC,Christian,31,28,19,11,60963,54581,Private Job,Arranged,Urban,Nuclear,573883
Kerala,SC,Christian,33,26,14,11,56534,71404,Govt Job,Love,Rural,Nuclear,278362
Haryana,OBC,Sikh,25,18,17,19,56298,66568,Business,Love,Urban,Nuclear,307250
Bihar,General,Muslim,22,29,13,12,54602,75819,Unemployed,Love,Urban,Joint,191008
Haryana,ST,Hindu,34,19,15,14,56310,69209,Farmer,Love,Urban,Joint,159578
Haryana,General,Sikh,25,19,15,19,136295,50989,Business,Love,Urban,Nuclear,1124595
Tamil Nadu,General,Muslim,32,19,16,12,59931,16757,Govt Job,Love,Urban,Joint,501985
Maharashtra,OBC,Hindu,32,19,19,20,126715,29268,Farmer,Love,Rural,Nuclear,515072
Maharashtra,ST,Christian,25,20,16,13,41289,74885,Business,Love,Urban,Joint,183180
Uttar Pradesh,ST,Hindu,25,28,13,15,112948,61150,Business,Arranged,Urban,Nuclear,1024350
Uttar Pradesh,General,Sikh,34,18,13,13,129473,67669,Private Job,Love,Urban,Nuclear,613909
Kerala,SC,Hindu,28,20,10,19,73468,79386,Private Job,Love,Rural,Nuclear,352640
Haryana,ST,Sikh,26,22,15,16,54829,34674,Unemployed,Love,Urban,Joint,81079
Uttar Pradesh,General,Sikh,33,18,19,13,40507,41378,Unemployed,Arranged,Urban,Joint,269174
Tamil Nadu,General,Christian,24,30,19,9,131700,71205,Business,Arranged,Urban,Joint,2216834
Maharashtra,General,Muslim,35,29,14,20,15920,11647,Govt Job,Love,Rural,Joint,78535
Rajasthan,ST,Sikh,24,20,10,11,84507,49946,Unemployed,Arranged,Rural,Joint,334057
Gujarat,SC,Christian,24,24,10,9,102447,22764,Private Job,Arranged,Rural,Joint,888002
Bihar,ST,Christian,22,22,19,15,20849,43219,Farmer,Love,Rural,Nuclear,69956
Bihar,SC,Sikh,25,28,11,12,80864,1808,Unemployed,Arranged,Urban,Nuclear,367514
Kerala,General,Christian,29,27,17,15,128951,45635,Govt Job,Arranged,Urban,Joint,2993068
Maharashtra,General,Muslim,35,18,20,19,91685,73755,Business,Arranged,Rural,Nuclear,1603193
Punjab,OBC,Sikh,29,20,15,19,56575,44981,Govt Job,Love,Rural,Nuclear,472894
Kerala,SC,Hindu,30,22,18,14,103936,78442,Govt Job,Arranged,Urban,Nuclear,1693974
Tamil Nadu,SC,Hindu,23,20,18,10,54856,75633,Business,Arranged,Urban,Joint,665165
Uttar Pradesh,ST,Sikh,32,24,20,15,67624,45587,Business,Arranged,Rural,Joint,672593
Uttar Pradesh,SC,Muslim,26,30,16,9,52940,70859,Govt Job,Love,Rural,Joint,200600
Gujarat,General,Sikh,30,29,13,20,82848,16987,Unemployed,Arranged,Rural,Joint,684407
Tamil Nadu,SC,Sikh,27,19,16,19,93002,10341,Private Job,Arranged,Rural,Joint,787861
Haryana,SC,Christian,21,23,15,17,142663,62870,Business,Arranged,Rural,Joint,1864162
Maharashtra,General,Muslim,31,20,10,8,102556,24371,Govt Job,Love,Rural,Nuclear,808337
Rajasthan,SC,Christian,25,29,14,10,84736,12067,Private Job,Love,Urban,Nuclear,335362
Karnataka,OBC,Sikh,22,30,10,10,85303,57684,Unemployed,Arranged,Urban,Joint,588041
Tamil Nadu,OBC,Christian,23,21,17,11,83427,33414,Business,Love,Urban,Nuclear,433278
Gujarat,ST,Christian,27,24,13,15,73487,51337,Business,Arranged,Rural,Nuclear,705854
Kerala,SC,Sikh,32,25,19,19,27861,58264,Farmer,Arranged,Urban,Joint,223884
Bihar,SC,Muslim,26,24,20,11,129777,78177,Govt Job,Arranged,Rural,Nuclear,1665490
Uttar Pradesh,OBC,Sikh,22,22,20,13,48385,18959,Private Job,Love,Rural,Nuclear,197726
Maharashtra,OBC,Christian,35,27,13,12,11630,47376,Unemployed,Love,Rural,Nuclear,19759
Haryana,General,Muslim,30,29,19,20,78307,17096,Govt Job,Arranged,Rural,Nuclear,1870695
Gujarat,General,Hindu,33,18,20,10,78288,32542,Govt Job,Arranged,Urban,Joint,1474606
Uttar Pradesh,SC,Muslim,33,27,12,12,35237,66254,Unemployed,Arranged,Rural,Nuclear,276968
Haryana,General,Muslim,28,24,14,13,146238,15470,Private Job,Love,Urban,Nuclear,821470
Uttar Pradesh,ST,Christian,22,25,14,16,46577,53246,Business,Arranged,Urban,Joint,393967
Gujarat,SC,Hindu,23,29,15,15,129926,41918,Govt Job,Love,Rural,Joint,681133
Rajasthan,ST,Hindu,35,30,15,20,122459,56403,Business,Love,Urban,Nuclear,474966
Punjab,OBC,Muslim,21,26,20,19,134120,4203,Govt Job,Arranged,Urban,Joint,2650552
Karnataka,SC,Sikh,27,23,17,11,133885,62847,Farmer,Love,Rural,Joint,406818
Gujarat,General,Hindu,23,26,14,12,50666,75830,Private Job,Love,Rural,Joint,283990
Bihar,General,Muslim,22,28,12,16,145176,43938,Business,Love,Rural,Nuclear,969836
Tamil Nadu,ST,Hindu,21,19,10,10,15222,62842,Business,Arranged,Urban,Nuclear,208179
Haryana,OBC,Hindu,22,27,18,17,93757,79957,Business,Arranged,Rural,Joint,1650837
Gujarat,SC,Hindu,28,20,14,19,69185,45728,Unemployed,Love,Urban,Joint,184778
Gujarat,OBC,Hindu,35,20,18,19,106204,56504,Private Job,Love,Urban,Joint,418989
Rajasthan,General,Muslim,27,25,10,10,103489,18756,Govt Job,Love,Rural,Joint,803244
Uttar Pradesh,ST,Muslim,26,26,17,10,28687,15046,Private Job,Arranged,Urban,Joint,185785
Haryana,General,Sikh,34,20,13,11,122246,51378,Business,Love,Rural,Joint,941379
Bihar,SC,Sikh,25,26,17,8,74813,16301,Farmer,Love,Rural,Joint,246935
Maharashtra,General,Muslim,34,18,20,20,43710,19812,Business,Arranged,Rural,Nuclear,711816
Bihar,SC,Hindu,22,22,15,11,13788,3409,Farmer,Love,Urban,Nuclear,74961
Kerala,OBC,Muslim,33,26,15,10,19438,22763,Private Job,Arranged,Rural,Joint,203072
Punjab,OBC,Hindu,28,28,12,12,50065,37176,Business,Arranged,Urban,Nuclear,945067
Bihar,OBC,Muslim,31,29,12,19,34613,71902,Private Job,Arranged,Rural,Joint,335926
Tamil Nadu,SC,Hindu,33,26,18,17,53433,54473,Govt Job,Arranged,Rural,Joint,692235
Bihar,General,Muslim,28,28,19,16,145344,51179,Govt Job,Love,Rural,Joint,1173276
Tamil Nadu,SC,Muslim,30,25,17,13,14693,47515,Unemployed,Arranged,Urban,Joint,46402
Gujarat,General,Sikh,35,24,11,18,117858,18010,Unemployed,Love,Urban,Nuclear,410340
Rajasthan,OBC,Hindu,21,23,19,13,46700,32040,Private Job,Love,Rural,Nuclear,144020
Gujarat,SC,Sikh,22,29,15,17,63105,32731,Private Job,Love,Urban,Nuclear,287162
Uttar Pradesh,SC,Sikh,28,28,13,13,57972,70894,Private Job,Arranged,Urban,Nuclear,493469
Gujarat,OBC,Christian,32,29,13,16,24411,71345,Unemployed,Arranged,Urban,Joint,131292
Bihar,OBC,Sikh,25,21,14,18,123927,63463,Business,Arranged,Urban,Joint,1757197
Punjab,ST,Hindu,25,29,19,14,129128,62874,Govt Job,Love,Rural,Joint,691251
Karnataka,OBC,Muslim,22,20,18,11,12522,52799,Private Job,Love,Rural,Nuclear,25874
Rajasthan,OBC,Sikh,30,24,15,20,121174,53004,Private Job,Love,Urban,Joint,495697
Tamil Nadu,SC,Hindu,22,21,12,13,97030,11741,Unemployed,Love,Urban,Joint,186864
Kerala,General,Muslim,22,19,11,17,77753,56821,Farmer,Love,Rural,Nuclear,377812
Uttar Pradesh,SC,Hindu,28,29,12,16,90534,58125,Govt Job,Arranged,Urban,Joint,1245335
Punjab,SC,Sikh,26,24,17,14,141253,54246,Farmer,Love,Rural,Nuclear,490361
Punjab,ST,Muslim,34,21,14,12,46513,14856,Farmer,Arranged,Urban,Nuclear,393219
Rajasthan,ST,Muslim,24,18,11,9,69442,57770,Govt Job,Arranged,Urban,Nuclear,739614
Tamil Nadu,OBC,Sikh,25,26,15,9,59626,37174,Govt Job,Arranged,Rural,Nuclear,934602
Kerala,SC,Hindu,27,26,13,17,73919,15261,Business,Arranged,Rural,Nuclear,979868
Maharashtra,ST,Christian,22,26,12,10,118252,43004,Unemployed,Arranged,Rural,Nuclear,535858
Gujarat,SC,Muslim,27,19,10,15,104185,28216,Private Job,Love,Rural,Joint,344815
Punjab,General,Christian,25,23,16,10,149175,35782,Private Job,Love,Urban,Nuclear,990507
Maharashtra,OBC,Christian,31,18,10,9,137270,19315,Business,Arranged,Urban,Joint,2014036
Rajasthan,ST,Muslim,25,28,16,11,40417,38040,Unemployed,Arranged,Rural,Nuclear,215697
Kerala,General,Christian,33,28,19,18,55235,5258,Govt Job,Arranged,Rural,Joint,1269516
Rajasthan,SC,Sikh,34,21,20,15,75863,6798,Farmer,Arranged,Urban,Nuclear,526359
Tamil Nadu,General,Christian,24,28,19,13,139286,21235,Private Job,Arranged,Urban,Nuclear,1780038
Maharashtra,General,Hindu,30,20,20,18,43404,21680,Farmer,Love,Rural,Nuclear,212942
Kerala,ST,Christian,31,25,16,16,141286,17477,Farmer,Love,Rural,Nuclear,454538
Uttar Pradesh,General,Hindu,30,27,16,18,104595,62204,Unemployed,Arranged,Urban,Nuclear,707262
Uttar Pradesh,OBC,Christian,21,27,18,11,32941,29410,Business,Arranged,Urban,Joint,470650
Karnataka,ST,Christian,21,19,12,17,61311,12833,Govt Job,Arranged,Urban,Joint,651669
Gujarat,General,Sikh,34,25,17,10,131741,18876,Farmer,Love,Urban,Nuclear,602670
Punjab,OBC,Hindu,29,27,16,10,132998,36581,Business,Arranged,Urban,Nuclear,2346809
Karnataka,General,Sikh,33,19,18,20,84876,58982,Govt Job,Arranged,Rural,Joint,1676171
Tamil Nadu,OBC,Hindu,29,29,14,9,72046,50733,Business,Arranged,Rural,Joint,1095767
Tamil Nadu,SC,Muslim,25,22,17,8,57974,10273,Business,Arranged,Rural,Joint,629814
Uttar Pradesh,OBC,Sikh,29,28,11,18,121524,4949,Farmer,Arranged,Rural,Joint,1249961
Gujarat,ST,Christian,22,21,16,10,119002,25713,Farmer,Arranged,Urban,Nuclear,831465
Tamil Nadu,ST,Hindu,30,27,17,16,97532,54438,Farmer,Arranged,Rural,Joint,680036
Uttar Pradesh,OBC,Christian,26,19,11,17,137175,72546,Business,Arranged,Rural,Nuclear,1906995
Tamil Nadu,ST,Christian,35,28,20,16,62404,33060,Govt Job,Arranged,Rural,Joint,642558
Haryana,OBC,Hindu,29,28,16,20,100319,60750,Business,Arranged,Rural,Nuclear,1704215
Karnataka,OBC,Christian,26,18,17,10,79544,32300,Private Job,Love,Rural,Nuclear,374456
Rajasthan,ST,Hindu,28,28,14,19,93944,51412,Private Job,Arranged,Urban,Nuclear,691925
Uttar Pradesh,General,Muslim,29,18,15,8,139213,36443,Business,Arranged,Urban,Nuclear,2310755
Tamil Nadu,SC,Sikh,34,30,13,19,58557,32525,Farmer,Love,Urban,Nuclear,182576
Tamil Nadu,ST,Muslim,27,28,18,15,27312,41353,Farmer,Love,Urban,Joint,-32170
Punjab,OBC,Sikh,31,27,20,19,68898,78910,Private Job,Arranged,Urban,Joint,981550
Punjab,General,Sikh,23,23,14,18,140300,24,Private Job,Love,Rural,Nuclear,849853
Maharashtra,ST,Muslim,21,25,15,20,14919,16847,Private Job,Arranged,Rural,Nuclear,107226
Kerala,OBC,Christian,34,21,18,13,145847,56989,Farmer,Arranged,Rural,Nuclear,1717179
Bihar,OBC,Christian,24,24,11,13,18292,45654,Unemployed,Arranged,Urban,Joint,178028
Karnataka,General,Christian,25,22,19,14,122684,7351,Unemployed,Arranged,Urban,Nuclear,815059
Karnataka,General,Muslim,25,27,18,11,65741,69695,Private Job,Arranged,Urban,Joint,853802
Haryana,OBC,Sikh,35,29,18,10,71005,63620,Farmer,Arranged,Rural,Joint,838248
Uttar Pradesh,SC,Christian,21,30,14,10,36783,1344,Private Job,Love,Urban,Joint,102380
Maharashtra,OBC,Christian,23,26,13,20,60227,57031,Private Job,Love,Rural,Joint,351310
Punjab,ST,Christian,26,27,18,15,103622,29908,Unemployed,Love,Urban,Nuclear,164535
Kerala,OBC,Hindu,21,18,14,13,21148,57893,Business,Love,Rural,Joint,183749
Haryana,OBC,Sikh,28,29,15,8,130752,52848,Business,Love,Rural,Nuclear,915294
Rajasthan,SC,Sikh,23,28,16,14,135753,27384,Unemployed,Love,Urban,Nuclear,340012
Karnataka,General,Christian,31,25,20,17,102543,55228,Business,Love,Rural,Joint,659831
Tamil Nadu,SC,Hindu,32,20,10,16,82545,49494,Business,Love,Urban,Nuclear,328200
Punjab,SC,Christian,34,20,16,14,42992,10427,Farmer,Love,Urban,Nuclear,212670
Bihar,OBC,Muslim,24,23,20,17,31635,71047,Business,Love,Rural,Nuclear,202218
Punjab,ST,Hindu,33,24,13,19,140751,53423,Private Job,Love,Urban,Nuclear,395676
Tamil Nadu,General,Christian,30,30,10,12,104590,71717,Business,Arranged,Rural,Joint,1740605
Uttar Pradesh,General,Christian,35,22,18,18,49851,2387,Private Job,Arranged,Urban,Joint,667382
Karnataka,ST,Sikh,27,19,17,11,75007,71013,Govt Job,Arranged,Urban,Joint,829461
Rajasthan,ST,Christian,30,24,17,8,43994,57152,Business,Love,Urban,Nuclear,126176
Bihar,General,Christian,34,28,20,13,41662,51340,Business,Arranged,Urban,Nuclear,558375
Punjab,General,Hindu,34,28,10,14,80369,46393,Private Job,Arranged,Rural,Joint,1279917
Tamil Nadu,SC,Christian,34,30,10,20,93952,64573,Private Job,Love,Rural,Joint,258420
Gujarat,OBC,Sikh,35,22,10,17,119349,55778,Unemployed,Love,Urban,Joint,214214
Uttar Pradesh,SC,Muslim,27,21,15,15,142644,56975,Business,Love,Urban,Nuclear,488870
Haryana,ST,Hindu,34,30,10,19,119190,71817,Unemployed,Arranged,Rural,Nuclear,641416
Karnataka,ST,Muslim,28,19,18,14,99163,12906,Private Job,Love,Rural,Joint,284087
Gujarat,SC,Christian,31,20,17,14,55789,2847,Unemployed,Arranged,Urban,Joint,273241
Tamil Nadu,General,Christian,21,24,19,19,54649,8120,Private Job,Love,Urban,Nuclear,353626
Haryana,General,Christian,35,25,14,13,98936,22702,Unemployed,Love,Rural,Joint,402282
Maharashtra,ST,Christian,33,27,19,14,140747,1550,Govt Job,Love,Urban,Nuclear,671952
Bihar,OBC,Sikh,30,19,11,15,69752,55929,Business,Arranged,Rural,Nuclear,927816
Kerala,SC,Sikh,30,26,18,19,85777,79348,Business,Arranged,Rural,Nuclear,1135675
Kerala,ST,Hindu,34,19,14,16,132100,35477,Unemployed,Arranged,Rural,Nuclear,584948
Uttar Pradesh,General,Sikh,21,20,15,11,109227,58198,Unemployed,Arranged,Rural,Joint,840501
Bihar,General,Hindu,25,19,15,8,113497,56438,Farmer,Arranged,Rural,Joint,1315484
Uttar Pradesh,General,Sikh,29,25,14,16,105659,55755,Govt Job,Arranged,Urban,Joint,2091681
Maharashtra,SC,Muslim,21,22,18,20,31729,36335,Farmer,Arranged,Urban,Nuclear,245005
Karnataka,General,Hindu,30,21,12,14,140170,37698,Unemployed,Arranged,Rural,Joint,1124496
Bihar,SC,Sikh,34,26,12,12,132600,41830,Farmer,Arranged,Rural,Joint,1049562
Punjab,OBC,Muslim,23,27,16,13,66250,5669,Business,Arranged,Rural,Nuclear,1244596
Gujarat,SC,Sikh,23,29,10,10,33981,24697,Business,Arranged,Urban,Nuclear,359725
Maharashtra,ST,Sikh,22,29,14,20,37842,77590,Farmer,Arranged,Rural,Joint,191353
Bihar,General,Sikh,25,24,15,10,123576,74954,Unemployed,Love,Rural,Nuclear,397861
Gujarat,SC,Muslim,22,30,16,10,132151,39728,Govt Job,Arranged,Rural,Joint,1644811
Tamil Nadu,ST,Christian,34,23,17,10,49255,997,Farmer,Arranged,Urban,Joint,384404
Uttar Pradesh,General,Hindu,32,28,14,10,91122,48553,Govt Job,Love,Rural,Joint,696590
Maharashtra,SC,Hindu,27,24,11,12,113487,28641,Unemployed,Arranged,Rural,Joint,550504
Uttar Pradesh,ST,Sikh,32,23,16,9,106787,33130,Farmer,Arranged,Rural,Nuclear,649192
Punjab,OBC,Hindu,24,30,20,18,109892,18004,Unemployed,Love,Rural,Nuclear,384058
Punjab,General,Muslim,33,21,12,14,38097,26494,Private Job,Love,Urban,Joint,229837
Gujarat,OBC,Christian,31,27,11,9,73080,75331,Private Job,Arranged,Urban,Joint,771796
Maharashtra,OBC,Sikh,23,23,12,15,107907,73319,Farmer,Arranged,Urban,Nuclear,1151546
Karnataka,General,Muslim,29,24,14,19,61529,46443,Unemployed,Love,Urban,Joint,149161
Tamil Nadu,SC,Muslim,29,22,16,11,61327,19750,Govt Job,Arranged,Urban,Nuclear,783697
Uttar Pradesh,ST,Christian,22,19,19,18,135349,72289,Unemployed,Arranged,Urban,Joint,601081
Punjab,ST,Christian,26,28,11,8,125948,41697,Private Job,Arranged,Rural,Nuclear,976396
Bihar,OBC,Hindu,29,28,16,9,137929,13823,Govt Job,Love,Urban,Nuclear,934344
Punjab,General,Sikh,24,26,10,20,30562,27576,Farmer,Love,Rural,Joint,118880
Bihar,SC,Christian,26,21,15,16,35063,36628,Unemployed,Arranged,Urban,Nuclear,219960
Haryana,SC,Sikh,26,18,10,11,89729,25164,Unemployed,Love,Rural,Nuclear,171524
Gujarat,General,Hindu,31,29,11,15,143295,19262,Farmer,Arranged,Rural,Nuclear,1711189
Haryana,ST,Sikh,32,24,17,20,58075,34459,Unemployed,Love,Rural,Joint,172370
Bihar,ST,Sikh,22,20,10,12,119086,32704,Business,Love,Rural,Nuclear,476544
Gujarat,OBC,Sikh,32,28,18,8,99732,22884,Private Job,Arranged,Rural,Nuclear,1109617
Kerala,ST,Muslim,30,22,13,20,90641,16026,Unemployed,Love,Rural,Joint,171167
Uttar Pradesh,OBC,Hindu,25,18,15,17,84056,42818,Farmer,Love,Rural,Joint,304040
Haryana,OBC,Hindu,34,20,13,8,110328,55892,Business,Love,Urban,Nuclear,830843
Karnataka,General,Sikh,33,28,14,17,110044,12600,Private Job,Love,Urban,Joint,537254
Maharashtra,OBC,Sikh,34,19,10,13,139882,43644,Unemployed,Arranged,Rural,Nuclear,871367
Bihar,General,Hindu,32,23,10,8,80439,75635,Business,Love,Urban,Nuclear,577036
Bihar,SC,Muslim,25,21,11,16,40058,30991,Unemployed,Arranged,Rural,Nuclear,164488
Punjab,General,Hindu,31,24,17,14,79949,43827,Unemployed,Arranged,Urban,Joint,700819
Gujarat,OBC,Hindu,25,25,10,8,119594,43849,Unemployed,Love,Urban,Nuclear,243547
Tamil Nadu,General,Hindu,30,25,13,16,58408,40848,Private Job,Arranged,Urban,Nuclear,735158
Kerala,OBC,Christian,26,29,20,20,105092,16886,Govt Job,Arranged,Urban,Joint,2076685
Maharashtra,ST,Muslim,24,27,14,18,12041,49697,Govt Job,Love,Urban,Nuclear,62726
Maharashtra,ST,Christian,21,25,11,18,121084,44308,Business,Arranged,Urban,Nuclear,1149429
Rajasthan,SC,Sikh,25,29,16,20,110710,59300,Govt Job,Arranged,Urban,Joint,1437897
Haryana,SC,Muslim,27,18,15,15,111615,40884,Govt Job,Arranged,Urban,Nuclear,1698165
Uttar Pradesh,OBC,Hindu,21,28,20,15,97239,38625,Govt Job,Arranged,Urban,Nuclear,1594533
Punjab,OBC,Sikh,31,18,18,18,101310,63270,Govt Job,Love,Rural,Nuclear,827883
Rajasthan,SC,Sikh,27,21,19,13,21022,24583,Business,Arranged,Urban,Nuclear,295921
Maharashtra,General,Hindu,27,24,12,15,117292,42450,Business,Arranged,Urban,Nuclear,1988550
Tamil Nadu,SC,Sikh,28,26,10,9,77675,65913,Govt Job,Arranged,Urban,Joint,966899
Gujarat,SC,Sikh,29,20,16,17,23530,32050,Private Job,Love,Rural,Joint,30358
Tamil Nadu,ST,Muslim,24,27,11,18,128694,15570,Unemployed,Love,Urban,Joint,143945
Maharashtra,General,Sikh,29,20,12,12,102641,52712,Private Job,Love,Urban,Joint,567046
Rajasthan,OBC,Christian,30,23,18,14,58475,29554,Business,Arranged,Rural,Joint,865091
Punjab,SC,Hindu,32,21,20,18,96045,69564,Business,Love,Rural,Joint,538290
Gujarat,General,Hindu,31,21,16,15,115617,40886,Business,Love,Rural,Joint,775137
Uttar Pradesh,ST,Christian,21,25,17,20,20257,34641,Private Job,Love,Rural,Joint,127066
Karnataka,SC,Christian,26,24,19,17,26254,3637,Unemployed,Arranged,Urban,Joint,109689
Tamil Nadu,OBC,Christian,32,27,16,14,57133,9664,Govt Job,Arranged,Rural,Joint,990457
Kerala,OBC,Sikh,28,29,13,10,48344,42655,Business,Love,Rural,Nuclear,329896
Haryana,ST,Muslim,27,23,16,8,139825,34543,Unemployed,Arranged,Urban,Nuclear,674300
Karnataka,SC,Christian,21,18,14,20,41423,9178,Farmer,Arranged,Urban,Joint,346512
Maharashtra,ST,Christian,34,27,19,8,115795,42041,Private Job,Arranged,Rural,Joint,831046
Bihar,SC,Muslim,24,23,11,17,12419,47560,Private Job,Love,Rural,Joint,60073
Bihar,ST,Muslim,28,24,11,9,16868,78087,Govt Job,Love,Urban,Joint,74909
Haryana,ST,Hindu,22,18,16,15,90731,67921,Private Job,Arranged,Urban,Joint,760245
Uttar Pradesh,General,Christian,22,27,14,12,98797,59484,Govt Job,Love,Urban,Joint,890035
Gujarat,SC,Muslim,24,30,19,20,44763,51821,Govt Job,Arranged,Urban,Nuclear,629941
Kerala,General,Sikh,32,25,18,20,95210,65325,Farmer,Arranged,Rural,Joint,1372889
Gujarat,OBC,Hindu,32,22,10,9,41315,68268,Private Job,Love,Rural,Joint,187375
Punjab,SC,Hindu,25,25,10,20,26033,55820,Business,Arranged,Urban,Nuclear,395555
Maharashtra,General,Muslim,23,23,11,16,56058,78935,Govt Job,Arranged,Urban,Nuclear,1119030
Rajasthan,OBC,Muslim,24,25,11,9,51508,38865,Business,Love,Urban,Nuclear,295935
Gujarat,General,Sikh,21,19,14,19,117651,11108,Unemployed,Arranged,Rural,Nuclear,902499
Uttar Pradesh,ST,Sikh,31,20,13,17,88148,33644,Farmer,Arranged,Urban,Joint,551286
Bihar,SC,Sikh,24,22,17,12,95937,78468,Unemployed,Arranged,Urban,Nuclear,330757
Tamil Nadu,General,Sikh,25,26,14,10,124273,53009,Farmer,Love,Urban,Joint,592127
Rajasthan,SC,Sikh,32,22,11,13,63797,64940,Unemployed,Love,Rural,Nuclear,105722
Rajasthan,OBC,Sikh,21,23,10,9,69446,24590,Farmer,Love,Urban,Nuclear,354639
Uttar Pradesh,OBC,Sikh,28,26,15,17,69023,41159,Unemployed,Arranged,Rural,Joint,456519
Maharashtra,ST,Hindu,24,20,12,17,36891,54346,Business,Love,Rural,Joint,74835
Karnataka,ST,Hindu,26,30,17,8,92366,54029,Govt Job,Love,Rural,Nuclear,385443
